Alex / Ryan / Dave,Format,My Deck,Opponent's Deck,Game 1/2/3,Win / Lose,Card 1,Card 2,Card 3,Card 4,Card 5,Card 6,Card 7
Dave,modern,Affinity,UB Control,1,Win,Glimmervoid,Inkmoth nexus,Ornithopter,Memnite,Mox opal,Signal pest,Cranial plating
Dave,modern,Affinity,UB Control,3,Win,Darksteel citadel,Mountain,Memnite,Mox opal,Cranial plating,Cranial plating,Etched champion
Ryan,Modern,Mardu Pyromancer,White Weenie,2,Loss,Swamp,bloodstained mire,lightning bolt,kolaghan's command,young pyromancer,thoughtseize,
Dave,Modern,UG Merfolk,Mono White Hatebears,2,Loss,Misty,Aether Vial,Silvergill adept,Deeproot elite,Lord of adlantis,Spreading seas,Master of waves
Dave,Modern,UG Merfolk,Mono White Hatebears,3,Loss,Misty,Breeding pool,Cursecatcher,Aether vial,Silvergill adept,Lord of adlantis,Merfolk mistbinder
Ryan,Modern,Mardu Pyromancer,Rock,1,Loss,swamp,bloodstained mire,marsh flats,lingering souls,young pyromancer,thoughtseize,inquisition of kozilek
Ryan,Modern,Mardu Pyromancer,affinity,1,loss,Bloodstained mire,bloodstained mire,blackcleave cliffs,swamp,inquisition of kozilek,terminate,faithless looting
Ryan,modern,mardu Pyromancer,burn,1,loss,blood crypt,faithless looting,young pyromancer,lightning bolt,kolaghan's command,terminate,bedlam reveler
Ryan,modern,mardu Pyromancer,burn,2,loss,blackcleave cliffs,mountain,collective brutality,bloodstained mire,kolaghan's command,fatal push,arid mesa
ryan,modern,mardu Pyromancer,ironworks,1,loss,blood crypt,mountain,young pyromancer,thoughtseize,lingering souls,young pyromancer,bedlam reveler
ryan,modern,mardu Pyromancer,ironworks,2,loss,blackcleave cliffs,mountain,bloodstained mire,thoughtseize,young pyromancer,bedlam reveler,lingering souls
ryan,modern,mardu Pyromancer,humans,1,loss,sacred foundry,mountain,lightning bolt,young pyromancer,bedlam reveler,blood moon,
ryan,modern,mardu Pyromancer,humans,3,loss,arid mesa,swamp,sacred foundry,lightning bolt,thoughtseize,blood moon,
ryan,modern,mardu Pyromancer,grixis shadow,1,loss,marsh flats,bloodstained mire,young pyromancer,lingering souls,dire fleet daredevil,inquisition of kozilek,kolaghan's command
Dave,modern,UG merfolk,UW Spirits,2,loss,Breeding pool,Island,Aether Vial,Aether vial,Gut shot,Silvergill adept,
Dave,modern,UG merfolk,UW Spirits,3,loss,Breeding pool,Island,Mutavault,Lord of adlantis,Lord of adlantis,Merrow reejery,Seafloor oracle
ryan,modern,mardu pyromancer,uwr,1,loss,mountain,blackcleave cliffs,bedlam reveler,dire fleet daredevil,thoughtseize,thoughtseize,
ryan,modern,mardu pyromancer,burn,1,loss,sacred foundry,blackcleave cliffs,swamp,bedlam reveler,lightning bolt,inquisition of kozilek,
Dave,modern,UG merfolk,affinity,1,loss,Island,Island,Misty,Mutavault,Cursecatcher,Silvergill adept,Spreading seas
Dave,modern,UG merfolk,affinity,2,loss,Botanical sanctum,Cursecatcher,Gut shot,Silvergill adept,Silvergill adept,Master of the pearl trident,Merrow reejery
ryan,modern,mardu pyromancer,Temur scapeshift,1,loss,sacred foundry,mountain,arid mesa,bloodstained mire,inquisition of kozilek,dire fleet daredevil,kolaghan's command
ryan,modern,mardu pyromancer,ur delver,2,loss,blackcleave cliffs,blackcleave cliffs,marsh flats,lingering souls,terminate,dreadbore,
Ryan,modern,mardu pyromancer,dredge,1,loss,mountain,blackcleave cliffs,inquisition of kozilek,young pyromancer,young pyromancer,dire fleet daredevil,cathartic reunion
ryan,modern,mardu pyromancer,dredge,3,loss,arid mesa,bloodstained mire,faithless looting,lightning bolt,terminate,dreadbore,bedlam reveler
ryan,modern,mardu pyromancer,ur kiki,1,loss,marsh flats,blackcleave cliffs,bloodstained mire,faithless looting,young pyromancer,bedlam reveler,dire fleet daredevil
ryan,modern,mardu pyromancer,ur kiki,2,loss,sacred foundry,blackcleave cliffs,mountain,faithless looting,faithless looting,faithless looting,bedlam reveler
Alex,Vintage,Dredge,Oath Storm,2,loss,Nature's Claim,Golgari Thug,Force of Will,Bridge from Below,Golgari-Grave Troll,Bazaar of Baghdad,
Alex,Vintage,Dredge,Shops,2,loss,Bazaar of Baghdad,Mana Confluence,Bridge from Below,Bloodghast,Golgari Grave-Troll,Narcomoeba,Serum Powder
Alex,Vintage,Dredge,Shops,3,loss,Mana Confluence,Bazaar of Baghdad,Ichorid,Cabal Therapy,,,
Alex,Vintage,Dredge,Stax,2,loss,Dakmoor Salvage,Force of Will,Narcomoeba,Force of Will,Narcomoeba,Bazaar of Baghdad,Stinkweed Imp
Alex,Vintage,Dredge,Stax,3,loss,Bazaar of Baghdad,Mental Misstep,Stinkweed Imp,Narcomoeba,Nature's Claim,,
Dave,Modern,UG Merfolk,Abzan,2,Loss,Island,Island,Aether vial,Silvergill adept,Master of the pearl trident,Lord of adlantis,Merfolk mistbinder
ryan,Modern,mardu pyromancer,uw control,1,loss,mountain,marsh flats,faithless looting,dreadbore,blood moon,bedlam reveler,lingering souls
ryan,Modern,mardu pyromancer,uw control,2,loss,arid mesa,sacred foundry,thoughtseize,inquisition of kozilek,bedlam reveler,faithless looting,
ryan,Modern,mardu pyromancer,elves,2,loss,arid mesa,mountain,swamp,inquisition of kozilek,kolaghan's command,lingering souls,bedlam reveler
ryan,modern,mardu pyromancer,uw control,2,loss,swamp,dire fleet daredevil,blackcleave cliffs,bedlam reveler,faithless looting,blackcleave cliffs,lingering souls
ryan,modern,mardu pyromancer,uw control,3,loss,arid mesa,dire fleet daredevil,blood moon,lightning bolt,faithless looting,kolaghan's command,fatal push
ryan,modern,mardu pyromancer,elves,2,loss,bloodstained mire,marsh flats,inquisition of kozilek,young pyromancer,collective brutality,terminate,lingering souls
ryan ,modern,mardu pyromancer,affinity,1,loss,blackcleave cliffs,thoughtseize,magmatic insight,bedlam reveler,bedlam reveler,blood moon,
