Alex / Ryan / Dave,Format,My Deck,Opponent's Deck,Game 1/2/3,Win / Lose,Card 1,Card 2,Card 3,Card 4,Card 5,Card 6,Card 7
ryan,modern,naya,ub rack,1,loss,sacred foundry,stomping ground,windswept heath,reckless bushwhacker,burning-tree emissary,experiment one,kird ape
ryan,modern,naya,gw value,2,loss,arid mesa,stomping ground,dryad arbor,lightning bolt,burning-tree emissary,kird ape,kird ape
ryan,modern,naya,gw value,3,loss,arid mesa,arid mesa,path to exile,path to exile,tarmogoyf,,
ryan,modern,naya,burn,2,loss,stomping ground,windswept heath,arid mesa,sacred foundry,goblin guide,tarmogoyf,reckless bushwhacker
ryan,modern,naya,blue turns,2,loss,arid mesa,windswept heath,wooded foothills,experiment one,burning-tree emissary,experiment one,
Dave,modern ,Affinity,UWR (W/Elesh Norn),2,loss,Darksteel citadel,Blinkmoth nexus,Glimmervoid,Springleaf drum,Memnite,Memnite,Memnite
ryan,modern,naya,goblins,1,loss,wild nacatl,goblin guide,experiment one,arid mesa,dryad arbor,experiment one,mountain
ryan,modern,naya,goblins,3,loss,tarmogoyf,windswept heath,experiment one,wooded foothills,lightning bolt,goblin guide,wild nacatl
Dave,modern,Affinity,Living end,1,loss,Blinkmoth nexus,Inkmoth nexus,Ornithopter,Signal pest,Steel overseer,Arcbound ravager,Cranial plating
Dave,modern,Affinity,Living end,3,loss,Glimmervoid,Inkmoth nexus,Mountain,Signal pest,Spell pierce,Cranial plating,
Dave,modern,Affinity,Storm,1,loss,Blinkmoth nexus,Glimmervoid,Darksteel citadel,Memnite,Memnite,Signal pest,Cranial plating
Dave,modern,Affinity,Storm,2,loss,Darksteel citadel,Inkmoth nexus,Mox opal,Vault skirge,Steel overseer,Cranial plating,
Dave,modern,Affinity,BR Flamblade adept,2,Loss,Glimmervoid,Memnite,Springleaf drum,Springleaf drum,Vault skirge,Cranial plating,
Dave,modern,Affinity,BR Flamblade adept,3,Loss,Inkmoth nexus,Blinkmoth nexus,Memnite,Memnite,Signal pest,Springleaf drum,Arcbound ravager
Dave,modern ,Affinity,RG moon,2,Loss,Inkmoth nexus,Signal pest,Signal pest,Springleaf drum,Galvanic blast,Steel overseer,
Dave,modern,Affinity,RG moon,3,Loss,Glimmervoid,Mountain,Galvanic blast,Vault skirge,Cranial plating,Whipflare,
Dave,modern,Affinity,UB Control,2,Loss,Memnite,Ornithopter,Springleaf drum,Arcbound ravager ,Ghirapur aether grid,,
Dave,modern,Affinity,Jund,1,Loss,Inkmoth nexus,Blinkmoth nexus,Vault skirge,Galvanic blast,Galvanic blast,Cranial plating,
Dave,modern,Affinity,Jund,2,Loss,Blinkmoth nexus,Memnite,Springleaf drum,Steel overseer,Cranial plating,,
Dave,Modern,UG Merfolk,Grixis Pyromancer,1,Lose,Island,Unclaimed Territory,Cursecatcher,Deeproot elite,Kumena,Seaafloor oracle,Merfolk mistbinder
Dave,Modern,UG Merfolk,Grixis Pyromancer,2,Lose,Island,Unclaimed Territory,Aether Vial,,,,
Dave,Modern,UG Merfolk,Stompy,2,Lose,Misty,Mutavault,Mutavault,Oboro,Lord of adlantis,Silvergill adept,Merfolk mistbinder
Dave,Modern,UG Merfolk,White Weenie,1,Lose,Island,Mutavault,Oboro,Misty,Cursecatcher,Seafloor oracle,Master of waves
